MomenTUM.A1Gregorian,MomenTUM.ElapsedSecs,FiniteC3sec,TCMsec,FiniteMOIsec,FiniteMatchPlanesec,FiniteRaisePeriToMinsec,CircularizeCount,Circularizesec,CircularizesecSum,FiniteSpiralSec,EOLcount,EOLsec,EOLsecSum,MomenTUM.ElectricTank1.FuelMass,MomenTUM.CTankFuel.FuelMass,MomenTUM.CTankOx.FuelMass,status,MomenTUM.TotalMass
24 Feb 2028 15:17:05.504,41570188.4694,2155.84586111,5.34999976365,2858.30549682,42.4428661248,13.1293586301,14.0000000000,38575.4312616,1110125.33601,0.00000000000,0.00000000000,0.00000000000,0.00000000000,160.341868828,8.74373409446,14.4271612559,6.00000000000,1328.62726418
06 Mar 2028 01:02:31.317,42469314.2829,2155.84586111,5.34999976365,2858.30549682,42.4428661248,13.1293586301,15.0000000000,74863.6320940,1184988.96810,0.00000000000,0.00000000000,0.00000000000,0.00000000000,159.960300876,8.74373409446,14.4271612559,6.00000000000,1328.24569623
16 Mar 2028 03:40:12.752,43342775.7180,2155.84586111,5.34999976365,2858.30549682,42.4428661248,13.1293586301,16.0000000000,43463.1450670,1228452.11317,0.00000000000,0.00000000000,0.00000000000,0.00000000000,159.738776182,8.74373409446,14.4271612559,6.00000000000,1328.02417153
26 Mar 2028 00:06:58.508,44193981.4736,2155.84586111,5.34999976365,2858.30549682,42.4428661248,13.1293586301,17.0000000000,66886.3119006,1295338.42507,0.00000000000,0.00000000000,0.00000000000,0.00000000000,159.397867354,8.74373409446,14.4271612559,6.00000000000,1327.68326270
04 Apr 2028 16:35:46.547,45030909.5123,2155.84586111,5.34999976365,2858.30549682,42.4428661248,13.1293586301,18.0000000000,47999.2199282,1343337.64500,0.00000000000,0.00000000000,0.00000000000,0.00000000000,159.153223012,8.74373409446,14.4271612559,6.00000000000,1327.43861836
13 Apr 2028 23:50:08.532,45834571.4978,2155.84586111,5.34999976365,2858.30549682,42.4428661248,13.1293586301,19.0000000000,59940.7030981,1403278.34809,0.00000000000,0.00000000000,0.00000000000,0.00000000000,158.847714842,8.74373409446,14.4271612559,6.00000000000,1327.13311019
23 Apr 2028 06:09:52.095,46634955.0608,2155.84586111,5.34999976365,2858.30549682,42.4428661248,13.1293586301,20.0000000000,52155.5187729,1455433.86687,0.00000000000,0.00000000000,0.00000000000,0.00000000000,158.581886509,8.74373409446,14.4271612559,6.00000000000,1326.86728186
02 May 2028 00:41:52.459,47392875.4251,2155.84586111,5.34999976365,2858.30549682,42.4428661248,13.1293586301,21.0000000000,53850.9139002,1509284.78077,0.00000000000,0.00000000000,0.00000000000,0.00000000000,158.307417020,8.74373409446,14.4271612559,6.00000000000,1326.59281237
10 May 2028 20:46:03.819,48156326.7844,2155.84586111,5.34999976365,2858.30549682,42.4428661248,13.1293586301,22.0000000000,55923.4016880,1565208.18245,0.00000000000,0.00000000000,0.00000000000,0.00000000000,158.022384391,8.74373409446,14.4271612559,6.00000000000,1326.30777974
19 May 2028 03:04:57.249,48870260.2142,2155.84586111,5.34999976365,2858.30549682,42.4428661248,13.1293586301,23.0000000000,48526.8516651,1613735.03412,0.00000000000,0.00000000000,0.00000000000,0.00000000000,157.775050794,8.74373409446,14.4271612559,6.00000000000,1326.06044614
27 May 2028 13:16:49.691,49598172.6567,2155.84586111,5.34999976365,2858.30549682,42.4428661248,13.1293586301,24.0000000000,59312.4767757,1673047.51090,0.00000000000,0.00000000000,0.00000000000,0.00000000000,157.472744593,8.74373409446,14.4271612559,6.00000000000,1325.75813994
04 Jun 2028 08:06:35.843,50270758.8091,2155.84586111,5.34999976365,2858.30549682,42.4428661248,13.1293586301,25.0000000000,43869.3745311,1716916.88543,0.00000000000,0.00000000000,0.00000000000,0.00000000000,157.249149412,8.74373409446,14.4271612559,6.00000000000,1325.53454476
