MomenTUM.A1ModJulian,MomenTUM.Mars.Altitude
31365.38604119054,184360746.0502075
31366.02538055837,183397710.9768886
31366.02541909631,183397652.9611218
31366.02544247967,183397617.7817597
31366.02613692411,183396573.2692267
31366.02799342371,183393780.9141164
31366.03259776974,183386855.5465198
31366.04383378803,183369955.6098952
31366.07303766168,183326031.0550826
31366.13845294785,183227645.2067232
31366.28792884477,183002846.7711263
31366.63590283681,182479615.7767728
31367.45383197625,181250284.704236
31368.45383197625,179748496.6702927
31369.45383197625,178248230.2932962
31370.45383197625,176749708.3729911
31371.45383197625,175253152.1842892
31372.45383197625,173758781.2220335
31373.45383197625,172266812.9703768
31374.45383197625,170777462.6931764
31375.45383197625,169290943.2425022
31376.45383197625,167807464.882975
31377.45383197625,166327235.1300648
31378.45383197625,164850458.6011038
31379.45383197625,163377336.8778466
31380.45383197625,161908068.3799459
31381.45383197625,160442848.2486055
31382.45383197625,158981868.2399766
31383.45383197625,157525316.627825
31384.45383197625,156073378.1150924
31385.45383197625,154626233.7539658
31386.45383197625,153184060.874129
31387.45383197625,151747033.0189004
31388.45383197625,150315319.8889038
31389.45383197625,148889087.2930259
31390.45383197625,147468497.1063807
31391.45383197625,146053707.2349619
31392.45383197625,144644871.5867908
31393.45383197625,143242140.0492269
31394.45383197625,141845658.4722331
31395.45383197625,140455568.6573685
31396.45383197625,139072008.3521484
31397.45383197625,137695111.2497157
31398.45383197625,136325006.9934065
31399.45383197625,134961821.1860909
31400.45383197625,133605675.4040504
31401.45383197625,132256687.2150639
31402.45383197625,130914970.2005708
31403.45383197625,129580633.9815676
31404.45383197625,128253784.2480638
31405.45383197625,126934522.7918433
31406.45383197625,125622947.5422594
31407.45383197625,124319152.6049418
31408.45383197625,123023228.3031106
31409.45383197625,121735261.2213868
31410.45383197625,120455334.2518063
31411.45383197625,119183526.6419137
31412.45383197625,117919914.0446918
31413.45383197625,116664568.5702109
31414.45383197625,115417558.8387337
31415.45383197625,114178950.0351649
31416.45383197625,112948803.9646521
31417.45383197625,111727179.1092055
31418.45383197625,110514130.6851178
31419.45383197625,109309710.7011426
31420.45383197625,108113968.0171879
31421.45383197625,106926948.403455
31422.45383197625,105748694.5998922
31423.45383197625,104579246.3758076
31424.45383197625,103418640.5895651
31425.45383197625,102266911.2482553
31426.45383197625,101124089.5671988
31427.45383197625,99990204.02925035
31428.45383197625,98865280.44374862
31429.45383197625,97749342.00506952
31430.45383197625,96642409.35069834
31431.45383197625,95544500.61873268
31432.45383197625,94455631.5047458
31433.45383197625,93375815.31798559
31434.45383197625,92305063.03682032
31435.45383197625,91243383.36338481
31436.45383197625,90190782.7774241
31437.45383197625,89147265.58923922
31438.45383197625,88112833.99178313
31439.45383197625,87087488.11178671
31440.45383197625,86071226.0599613
31441.45383197625,85064043.98024936
31442.45383197625,84065936.09804745
31443.45383197625,83076894.76741251
31444.45383197625,82096910.51722957
31445.45383197625,81125972.0962833
31446.45383197625,80164066.51722059
31447.45383197625,79211179.09937462
31448.45383197625,78267293.51043086
31449.45383197625,77332391.8069196
31450.45383197625,76406454.47354971
31451.45383197625,75489460.46133536
31452.45383197625,74581387.22458979
31453.45383197625,73682210.75674821
31454.45383197625,72791905.62505266
31455.45383197625,71910445.00413123
31456.45383197625,71037800.70843764
31457.45383197625,70173943.2236487
31458.45383197625,69318841.73696324
31459.45383197625,68472464.1663637
31460.45383197625,67634777.18884391
31461.45383197625,66805746.2676379
31462.45383197625,65985335.67844072
31463.45383197625,65173508.53467096
31464.45383197625,64370226.81177987
31465.45383197625,63575451.37064657
31466.45383197625,62789141.98005401
31467.45383197625,62011257.33829658
31468.45383197625,61241755.0939439
31469.45383197625,60480591.86576284
31470.45383197625,59727723.26185055
31471.45383197625,58983103.8980052
31472.45383197625,58246687.41533983
31473.45383197625,57518426.49720501
31474.45383197625,56798272.88541628
31475.45383197625,56086177.39584181
31476.45383197625,55382089.93338156
31477.45383197625,54685959.50634979
31478.45383197625,53997734.24032481
31479.45383197625,53317361.3914811
31480.45383197625,52644787.35942617
31481.45383197625,51979957.69963254
31482.45383197625,51322817.13541524
31483.45383197625,50673309.56958765
31484.45383197625,50031378.09573676
31485.45383197625,49396965.00924826
31486.45383197625,48770011.81802811
31487.45383197625,48150459.25304575
31488.45383197625,47538247.27866174
31489.45383197625,46933315.10282646
31490.45383197625,46335601.18717356
31491.45383197625,45745043.25704209
31492.45383197625,45161578.31146751
31493.45383197625,44585142.6331828
31494.45383197625,44015671.79867787
31495.45383197625,43453100.6883203
31496.45383197625,42897363.49662817
31497.45383197625,42348393.74267326
31498.45383197625,41806124.28070764
31499.45383197625,41270487.31100194
31500.45383197625,40741414.39096452
31501.45383197625,40218836.44655625
31502.45383197625,39702683.78404243
31503.45383197625,39192886.10212059
31504.45383197625,38689372.5044347
31505.45383197625,38192071.51253536
31506.45383197625,37700911.07928739
31507.45383197625,37215818.60277022
31508.45383197625,36736720.94069042
31509.45383197625,36263544.42533079
31510.45383197625,35796214.87905707
31511.45383197625,35334657.63040683
31512.45383197625,34878797.53077383
31513.45383197625,34428558.97170786
31514.45383197625,33983865.90284219
31515.45383197625,33544641.85046064
31516.45383197625,33110809.93671451
31517.45383197625,32682292.89949593
31518.45383197625,32259013.11297468
31519.45383197625,31840892.60880006
31520.45383197625,31427853.09797302
31521.45383197625,31019815.9933876
31522.45383197625,30616702.43304097
31523.45383197625,30218433.30391278
31524.45383197625,29824929.26651778
31525.45383197625,29436110.78011201
31526.45383197625,29051898.12857558
31527.45383197625,28672211.44693499
31528.45383197625,28296970.74853066
31529.45383197625,27926095.95281408
31530.45383197625,27559506.9137274
31531.45383197625,27197123.4486482
31532.45383197625,26838865.36785895
31533.45383197625,26484652.50446885
31534.45383197625,26134404.74475475
31535.45383197625,25788042.05886925
31536.45383197625,25445484.53183413
31537.45383197625,25106652.39480678
31538.45383197625,24771466.05653813
31539.45383197625,24439846.1350181
31540.45383197625,24111713.4892245
31541.45383197625,23786989.2509812
31542.45383197625,23465594.85686041
31543.45383197625,23147452.08010089
31544.45383197625,22832483.06250316
31545.45383197625,22520610.34624641
31546.45383197625,22211756.90561898
31547.45383197625,21905846.1785587
31548.45383197625,21602802.09802818
31549.45383197625,21302549.12310481
31550.45383197625,21005012.26980039
31551.45383197625,20710117.14152134
31552.45383197625,20417789.95915546
31553.45383197625,20127957.59069135
31554.45383197625,19840547.58039815
31555.45383197625,19555488.17743589
31556.45383197625,19272708.36394278
31557.45383197625,18992137.88248444
31558.45383197625,18713707.26287281
31559.45383197625,18437347.84830185
31560.45383197625,18162991.82076727
31561.45383197625,17890572.22573663
31562.45383197625,17620022.99605521
31563.45383197625,17351278.97502701
31564.45383197625,17084275.93867546
31565.45383197625,16818950.6171612
31566.45383197625,16555240.71530495
31567.45383197625,16293084.93222721
31568.45383197625,16032422.980092
31569.45383197625,15773195.60190431
31570.45383197625,15515344.58838455
31571.45383197625,15258812.79390843
31572.45383197625,15003544.15149232
31573.45383197625,14749483.68678959
31574.45383197625,14496577.53120018
31575.45383197625,14244772.9339495
31576.45383197625,13994018.27324269
31577.45383197625,13744263.06646901
31578.45383197625,13495457.97944705
31579.45383197625,13247554.83471236
31580.45383197625,13000506.61889575
31581.45383197625,12754267.48916133
31582.45383197625,12508792.77871344
31583.45383197625,12264039.00142664
31584.45383197625,12019963.85556436
31585.45383197625,11776526.2266281
31586.45383197625,11533686.18932014
31587.45383197625,11291405.00868521
31588.45383197625,11049645.14039557
31589.45383197625,10808370.23021797
31590.45383197625,10567545.11267274
31591.45383197625,10327135.80889744
31592.45383197625,10087109.52372911
31593.45383197625,9847434.642015031
31594.45383197625,9608080.724169318
31595.45383197625,9369018.50094863
31596.45383197625,9130219.867534319
31597.45383197625,8891657.876815183
31598.45383197625,8653306.731948344
31599.45383197625,8415141.778153453
31600.45383197625,8177139.493766802
31601.45383197625,7939277.480440855
31602.45383197625,7701534.452602557
31603.45383197625,7463890.225985578
31604.45383197625,7226325.705262451
31605.45383197625,6988822.870696221
31606.45383197625,6751364.763660002
31607.45383197625,6513935.470951708
31608.45383197625,6276520.107700947
31609.45383197625,6039104.798678298
31610.45383197625,5801676.657695647
31611.45383197625,5564223.764684219
31612.45383197625,5326735.140067413
31613.45383197625,5089200.715646238
31614.45383197625,4851611.30112748
31615.45383197625,4613958.545125843
31616.45383197625,4376234.88885251
31617.45383197625,4138433.510222361
31618.45383197625,3900548.254913686
31619.45383197625,3662573.549623861
31620.45383197625,3424504.290302385
31621.45383197625,3186335.694605
31622.45383197625,2948063.102015923
31623.45383197625,2709681.6951617
31624.45383197625,2471186.098927162
31625.45383197625,2232569.783050459
31626.02544247967,2096116.774810224
31626.03238692411,2094458.753536874
31626.04718000221,2090926.819596559
31626.08255187372,2082481.513818355
31626.17551133153,2060286.291341635
31626.42539892384,2000619.289524388
31626.98123103212,1867882.06166042
31627.85140693493,1660018.810504117
31628.7638805602,1441957.080938935
31629.52599671915,1259731.24609343
31630.18131944576,1102948.333323181
31630.75054658791,966673.5030346261
31631.24374945084,848511.3889921797
31631.67062777871,746154.2480416484
31632.04162731698,657112.9879821456
31632.36342606065,579799.9929278451
31632.64275435557,512613.4066466084
31632.88629389733,453960.3979518404
31633.09867870104,402738.4843964652
31633.28435852008,357887.5684073311
31633.44696367261,318543.1736191982
31633.58958312421,283969.7914834969
31633.71488694625,253531.5482951403
31633.82514785113,226687.2676012691
31633.92232517833,202970.3558583778
31634.00809336202,181982.1360447115
31634.08389676056,163378.7236401485
31634.15099184275,146860.9088068298
31634.21045256231,132173.0552080028
31634.26321688089,119091.8533783058
31634.31009811678,107423.6851852177
31634.3518052844,96999.74872420677
31634.38894946201,87674.64477105455
31634.42206995994,79319.9841206609
31634.45163751097,71823.70692730324
31634.47805950841,65088.9066149561
31634.50169835445,59029.29407770206
31634.5251998773,52966.74662601005
31634.54391714858,48106.11463606774
31634.56254481968,43235.0428915726
31634.5774608096,39306.09445674485
31634.59229893433,35368.13978714492
31634.60424531033,32172.77953379134
31634.61612531645,28969.63082461067
31634.62574103227,26355.57444114679
31634.6353014038,23734.79705583884
31634.64308145096,21583.925185985
31634.65081408294,19427.99202012508
31634.65714453732,17648.00918498934
31634.6634342241,15864.75620121638
31634.66917901765,14222.05223361809
31634.67436015575,12728.32739223007
31634.67903127988,11371.32051032596
