MomenTUM.A1ModJulian,MomenTUM.Phobos.RMAG
31345.50388833421,214131524.9923586
31345.51083277865,214121860.1763516
31345.5177772231,214112334.4950649
31345.52472166755,214102932.174123
31345.53166611199,214093634.9696368
31345.53861055644,214084422.5622619
31345.54555500088,214075273.0052714
31345.55249944532,214066163.2123111
31345.55944388977,214057069.4691105
31345.56638833421,214047967.952757
31345.57333277865,214038835.2426077
31345.5802772231,214029648.8078916
31345.58722166755,214020387.4591445
31345.59416611199,214011031.7528273
31345.60111055644,214001564.341518
31345.60805500088,213991970.2645905
31345.61499944532,213982237.1770012
31345.62194388977,213972355.5162764
31345.62888833421,213962318.6094465
31345.63583277865,213952122.7234263
31345.6427772231,213941767.0630519
31345.64972166755,213931253.7218451
31345.65666611199,213920587.5904365
31345.66361055644,213909776.2276077
31345.67055500088,213898829.6985106
31345.67749944532,213887760.3839952
31345.68444388977,213876582.7645096
31345.69138833421,213865313.181187
31345.69833277865,213853969.5764597
31345.7052772231,213842571.2158101
31345.71222166755,213831138.3922052
31345.71916611199,213819692.1143031
31345.72611055644,213808253.779944
31345.73305500088,213796844.8364503
31345.73999944532,213785486.4298512
31345.74694388977,213774199.0461291
31345.75388833421,213763002.1478471
31345.76083277865,213751913.8124442
31345.7677772231,213740950.3759902
31345.77472166755,213730126.0899001
31345.78166611199,213719452.8032268
31345.78861055644,213708939.6749533
31345.79555500088,213698592.9278447
31345.80249944532,213688415.6543119
31345.80944388977,213678407.6839218
31345.81638833421,213668565.5207362
31345.82333277865,213658882.3572907
31345.8302772231,213649348.16931
31345.83722166755,213639949.8925177
31345.84416611199,213630671.6794074
31345.85111055644,213621495.2303788
31345.85805500088,213612400.1902925
31345.86499944532,213603364.5983905
31345.87194388977,213594365.3774565
31345.87888833421,213585378.84632
31345.88583277865,213576381.2393875
31345.8927772231,213567349.2171799
31345.89972166755,213558260.3530563
31345.90666611199,213549093.5831724
31345.91361055644,213539829.609177
31345.92055500088,213530451.2459633
31345.92749944532,213520943.7094649
31345.93444388977,213511294.8423449
31345.94138833421,213501495.2775233
31345.94833277865,213491538.5417113
31345.9552772231,213481421.1023038
31345.96222166755,213471142.3620983
31345.96916611199,213460704.6068549
31345.97611055644,213450112.9108931
31345.98305500088,213439375.0059627
31345.98999944532,213428501.1178238
31345.99694388977,213417503.7738326
31346.00388833421,213406397.5825985
31346.01083277865,213395198.9986238
31346.0177772231,213383926.0601956
31346.02472166755,213372598.1092118
31346.03166611199,213361235.4967766
31346.03861055644,213349859.2709958
31346.04555500088,213338490.8500667
31346.05249944532,213327151.6824459
31346.05944388977,213315862.8962348
31346.06638833421,213304644.9405131
31346.07333277865,213293517.2224465
31346.0802772231,213282497.7451512
